date,cohort,action,symbol
2026-01-07,sp500,add,AMGN
2026-01-07,sp500,add,CPT
2026-01-07,sp500,add,MRK
2026-01-07,sp500,add,EXPD
2026-01-07,sp500,add,VTRS
2026-01-07,sp500,add,AMT
2026-01-07,sp500,add,ROL
2026-01-07,sp500,add,AMD
2026-01-07,sp500,add,COF
2026-01-07,sp500,add,IQV
2026-01-07,sp500,add,ED
2026-01-07,sp500,add,XYL
2026-01-07,sp500,add,CDW
2026-01-07,sp500,add,MGM
2026-01-07,sp500,add,TER
2026-01-07,sp500,add,MCHP
2026-01-07,sp500,add,V
2026-01-07,sp500,add,DG
2026-01-07,sp500,add,SNPS
2026-01-07,sp500,add,CRM
2026-01-07,sp500,add,ALLE
2026-01-07,sp500,add,VZ
2026-01-07,sp500,add,AXP
2026-01-07,sp500,add,TSLA
2026-01-07,sp500,add,AEE
2026-01-07,sp500,add,OKE
2026-01-07,sp500,add,STE
2026-01-07,sp500,add,HOLX
2026-01-07,sp500,add,BKNG
2026-01-07,sp500,add,LIN
2026-01-07,sp500,add,OMC
2026-01-07,sp500,add,ARE
2026-01-07,sp500,add,HUBB
2026-01-07,sp500,add,VRSN
2026-01-07,sp500,add,PFE
2026-01-07,sp500,add,FIX
2026-01-07,sp500,add,CAT
2026-01-07,sp500,add,ARES
2026-01-07,sp500,add,ORLY
2026-01-07,sp500,add,RL
2026-01-07,sp500,add,FDX
2026-01-07,sp500,add,SLB
2026-01-07,sp500,add,APO
2026-01-07,sp500,add,FSLR
2026-01-07,sp500,add,XEL
2026-01-07,sp500,add,TFC
2026-01-07,sp500,add,VLO
2026-01-07,sp500,add,LH
2026-01-07,sp500,add,UNP
2026-01-07,sp500,add,TAP
2026-01-07,sp500,add,GILD
2026-01-07,sp500,add,STT
2026-01-07,sp500,add,TKO
2026-01-07,sp500,add,WDAY
2026-01-07,sp500,add,BXP
2026-01-07,sp500,add,TXN
2026-01-07,sp500,add,DD
2026-01-07,sp500,add,AJG
2026-01-07,sp500,add,WEC
2026-01-07,sp500,add,CHTR
2026-01-07,sp500,add,HOOD
2026-01-07,sp500,add,WDC
2026-01-07,sp500,add,FISV
2026-01-07,sp500,add,KHC
2026-01-07,sp500,add,LEN
2026-01-07,sp500,add,ALL
2026-01-07,sp500,add,NKE
2026-01-07,sp500,add,PCG
2026-01-07,sp500,add,IVZ
2026-01-07,sp500,add,PWR
2026-01-07,sp500,add,PH
2026-01-07,sp500,add,SWKS
2026-01-07,sp500,add,CPRT
2026-01-07,sp500,add,MDLZ
2026-01-07,sp500,add,CRL
2026-01-07,sp500,add,GOOG
2026-01-07,sp500,add,MDT
2026-01-07,sp500,add,KIM
2026-01-07,sp500,add,NSC
2026-01-07,sp500,add,RJF
2026-01-07,sp500,add,MOS
2026-01-07,sp500,add,ACGL
2026-01-07,sp500,add,NXPI
2026-01-07,sp500,add,PG
2026-01-07,sp500,add,T
2026-01-07,sp500,add,KMI
2026-01-07,sp500,add,BR
2026-01-07,sp500,add,DOV
2026-01-07,sp500,add,BBY
2026-01-07,sp500,add,AVGO
2026-01-07,sp500,add,CRH
2026-01-07,sp500,add,CF
2026-01-07,sp500,add,GPC
2026-01-07,sp500,add,AOS
2026-01-07,sp500,add,BSX
2026-01-07,sp400,add,LAD
2026-01-07,sp400,add,WMG
2026-01-07,sp400,add,CNH
2026-01-07,sp400,add,KNF
2026-01-07,sp400,add,FR
2026-01-07,sp400,add,BKH
2026-01-07,sp400,add,MSA
2026-01-07,sp400,add,AN
2026-01-07,sp400,add,BBWI
2026-01-07,sp400,add,FLR
2026-01-07,sp400,add,LNTH
2026-01-07,sp400,add,DAR
2026-01-07,sp400,add,CNX
2026-01-07,sp400,add,FNB
2026-01-07,sp400,add,PVH
2026-01-07,sp400,add,BLD
2026-01-07,sp400,add,MTG
2026-01-07,sp400,add,GHC
2026-01-07,sp400,add,JEF
2026-01-07,sp400,add,CHWY
2026-01-07,sp400,add,ATR
