symbol,name,weight
SON,Sonoco Products Company,0.153845
TXNM,TXNM Energy Inc.,0.152724
FBIN,Fortune Brands Innovations Inc.,0.152401
STWD,Starwood Property Trust Inc.,0.151697
MSM,MSC Industrial Direct Co. Inc. Class A,0.151389
BKH,Black Hills Corporation,0.151031
SIGI,Selective Insurance Group Inc.,0.150878
NJR,New Jersey Resources Corporation,0.149845
GXO,GXO Logistics Inc,0.149251
VAL,Valaris Ltd.,0.147254
WH,Wyndham Hotels & Resorts Inc.,0.147194
ALGM,Allegro MicroSystems Inc.,0.147161
VICR,Vicor Corporation,0.146478
SAIC,Science Applications International Corp.,0.145813
NXST,Nexstar Media Group Inc.,0.145326
BSY,Bentley Systems Incorporated Class B,0.144258
ELF,e.l.f. Beauty Inc.,0.144197
OZK,Bank OZK,0.143837
CHWY,Chewy Inc. Class A,0.14381
BC,Brunswick Corporation,0.143438
KRG,Kite Realty Group Trust,0.143432
SIRI,SiriusXM Holdings Inc.,0.143266
DUOL,Duolingo Inc. Class A,0.142723
G,Genpact Limited,0.142541
EXLS,ExlService Holdings Inc.,0.142044
BDC,Belden Inc.,0.141336
SLM,SLM Corp,0.141166
SARO,StandardAero Inc.,0.141154
MTN,Vail Resorts Inc.,0.141114
ASB,Associated Banc-Corp,0.14104
AN,AutoNation Inc.,0.140337
CNO,CNO Financial Group Inc.,0.137804
TREX,Trex Company Inc.,0.137701
DBX,Dropbox Inc. Class A,0.137664
SBRA,Sabra Health Care REIT Inc.,0.136846
ALK,Alaska Air Group Inc.,0.136761
GNTX,Gentex Corporation,0.135742
OGS,ONE Gas Inc.,0.135726
UFPI,UFP Industries Inc.,0.135546
CNX,CNX Resources Corporation,0.134952
SHC,Sotera Health Company,0.133781
APPF,AppFolio Inc Class A,0.131032
MIDD,Middleby Corporation,0.130978
SR,Spire Inc.,0.130777
VFC,V.F. Corporation,0.130509
CUZ,Cousins Properties Incorporated,0.130499
KBR,KBR Inc.,0.129915
ESAB,ESAB Corporation,0.129614
ANF,Abercrombie & Fitch Co. Class A,0.129187
RYAN,Ryan Specialty Holdings Inc. Class A,0.127237
TNL,Travel + Leisure Co.,0.125839
BCO,Brink's Company,0.125665
LPX,Louisiana-Pacific Corporation,0.125449
EPR,EPR Properties,0.12514
MUR,Murphy Oil Corporation,0.124395
FHI,Federated Hermes Inc. Class B,0.124026
OLLI,Ollie's Bargain Outlet Holdings Inc,0.123906
BYD,Boyd Gaming Corporation,0.123572
VNT,Vontier Corp,0.123477
CELH,Celsius Holdings Inc.,0.123125
FFIN,First Financial Bankshares Inc,0.122841
GAP,Gap Inc.,0.122595
MORN,Morningstar Inc.,0.122165
NVST,Envista Holdings Corp.,0.121979
CBT,Cabot Corporation,0.121145
LIVN,LivaNova Plc,0.120616
FCN,FTI Consulting Inc.,0.119911
ACI,Albertsons Companies Inc. Class A,0.118095
NWE,NorthWestern Energy Group Inc.,0.11795
BILL,BILL Holdings Inc.,0.117834
TCBI,Texas Capital Bancshares Inc.,0.117811
MAT,Mattel Inc.,0.116637
VVV,Valvoline Inc.,0.116442
FLG,Flagstar Bank National Association,0.114201
HLNE,Hamilton Lane Incorporated Class A,0.113746
AVNT,Avient Corporation,0.11349
HAE,Haemonetics Corporation,0.112678
SYNA,Synaptics Incorporated,0.112084
CDP,COPT Defense Properties,0.111366
THO,Thor Industries Inc.,0.110959
PAG,Penske Automotive Group Inc.,0.108078
IRT,Independence Realty Trust Inc.,0.106998
PLNT,Planet Fitness Inc. Class A,0.106412
GHC,Graham Holdings Co. Class B,0.106348
IBOC,International Bancshares Corporation,0.106008
BBWI,Bath & Body Works Inc.,0.104383
KRC,Kilroy Realty Corporation,0.103728
OLED,Universal Display Corporation,0.103242
PVH,PVH Corp.,0.101467
LOPE,Grand Canyon Education Inc.,0.100968
KNF,Knife River Corporation,0.100635
DLB,Dolby Laboratories Inc. Class A,0.100543
OPCH,Option Care Health Inc,0.10041
PII,Polaris Inc.,0.100285
WMG,Warner Music Group Corp. Class A,0.100166
SLGN,Silgan Holdings Inc.,0.099503
KBH,KB Home,0.093786
WING,Wingstop Inc.,0.09172
YETI,YETI Holdings Inc.,0.090147
ASH,Ashland Inc.,0.090129
GPK,Graphic Packaging Holding Company,0.090076
BHF,Brighthouse Financial Inc.,0.089608
DOCS,Doximity Inc. Class A,0.088619
